"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"2250","The Forsaken",5000000,6755271,2001,4,27,"The Forsaken",41,7,90,"Kerr Smith","Brendan Fehr","Izabella Miko","tt0245120",35,"English","J.S. Cardone","Horror, Thriller",5.3,6508,0,1,0,4
"2251","UHF",5000000,6157157,1989,7,21,"UHF",78,57,97,"Weird Al Yankovic","Michael Richards","Kevin McCarthy","tt0098546",32,"English","Jay Levey","Comedy",7,18601,1,0,0,4
"2252","Grandma's Boy",5000000,6090172,2006,1,6,"Grandma's Boy",86,18,136,"Linda Cardellini","Allen Covert","Peter Dante","tt0456554",33,"English","Nicholaus Goossen","Comedy",7.1,57037,0,1,0,4
"2253","Slums of Beverly Hills",5000000,5502773,1998,8,14,"Slums of Beverly Hills",68,80,91,"Natasha Lyonne","Alan Arkin","Marisa Tomei","tt0120831",69,"English","Tamara Jenkins","Comedy, Drama",6.6,8218,0,1,0,4
"2254","Made",5000000,5308707,2001,7,13,"Made",68,71,95,"Vince Vaughn","Jon Favreau","Sean 'P. Diddy' Combs","tt0227005",62,"English","Jon Favreau","Comedy, Crime, Drama",6.5,13319,0,1,0,4
"2255","Moon",5000000,5010163,2009,6,12,"Moon",89,89,97,"Sam Rockwell","Kaya Scodelario","Benedict Wong","tt1182345",67,"English, Spanish","Duncan Jones","Drama, Sci-Fi",8,183642,0,1,1,4
"2256","Keeping Up with the Steins",5000000,4339241,2006,5,12,"Keeping Up With The Steins",38,37,99,"Jeremy Piven","Jami Gertz","Garry Marshall","tt0415949",57,"English, Hebrew","Scott Marshall","Comedy",5.4,2490,1,0,0,4
"2257","The Sweet Hereafter",5000000,4306697,1997,10,10,"The Sweet Hereafter",87,100,110,"Ian Holm","Sarah Polley","Bruce Greenwood","tt0120255",90,"English","Atom Egoyan","Drama",7.8,22979,0,1,0,4
"2258","Des Hommes et Des Dieux",5000000,3954651,2011,2,25,"Of Gods and Men",76,93,120,"Lambert Wilson","Michael Lonsdale","Olivier Rabourdin","tt1588337",86,"French, Arabic","Xavier Beauvois","Drama, History",7.2,10164,1,0,0,4
"2259","Everything Must Go",5000000,2712131,2011,5,13,"Everything Must Go",53,75,97,"Will Ferrell","Christopher Jordan Wallace","Rebecca Hall","tt1531663",65,"English","Dan Rush","Comedy, Drama",6.5,31366,0,1,0,4
"2260","Rabbit Hole",5000000,2229058,2010,12,17,"Rabbit Hole",72,86,91,"Nicole Kidman","Aaron Eckhart","Dianne Wiest","tt0935075",76,"English","John Cameron Mitchell","Drama",7,34130,1,0,0,4
"2261","The Machinist",5000000,1082044,2004,10,22,"The Machinist",83,77,98,"Christian Bale","Jennifer Jason Leigh","Aitana Sanchez-Gijon","tt0361862",61,"English","Brad Anderson","Drama, Thriller",7.8,209560,0,1,0,4
"2262","Sling Blade",4833610,24475416,1996,11,20,"Sling Blade",93,96,134,"Billy Bob Thornton","Dwight Yoakam","J.T. Walsh","tt0117666",84,"English","Billy Bob Thornton","Drama",8.1,60223,0,1,0,2
"2263","Hostel",4800000,47326473,2006,1,6,"Hostel",54,61,94,"Jay Hernandez","Derek Richardson","Eythor Gudjonsson","tt0450278",55,"English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish","Eli Roth","Horror",5.8,111472,0,1,0,4
"2264","Take Shelter",4750000,1728953,2011,9,30,"Take Shelter",81,92,120,"Michael Shannon","Jessica Chastain","Tova Stewart","tt1675192",85,"English","Jeff Nichols","Drama, Thriller",7.5,48461,0,1,0,4
"2265","Tristram Shandy: A Cock and Bull Story",4750000,1253413,2006,1,27,"Tristram Shandy: A Cock and Bull Story",66,90,94,"Steve Coogan","Rob Brydon","Raymond Waring","tt0423409",80,"English","Michael Winterbottom","Comedy, Drama",6.8,10182,0,1,0,4
"2266","Dear Frankie",4600000,1340891,2005,3,4,"Dear Frankie",91,81,102,"Emily Mortimer","Jack McElhone","Gerard Butler","tt0377752",63,"English, British Sign Language","Shona Auerbach","Drama, Romance",7.9,16271,1,0,0,4
"2267","Four Weddings and a Funeral",4500000,52700832,1994,3,9,"Four Weddings and a Funeral",74,95,116,"Hugh Grant","Andie MacDowell","Kristin Scott Thomas","tt0109831",81,"English, British Sign Language","Mike Newell","Comedy, Drama, Romance",7.1,85633,0,1,0,2
"2268","Fast Times at Ridgemont High",4500000,27092880,1982,8,13,"Fast Times At Ridgemont High",80,79,90,"Sean Penn","Jennifer Jason Leigh","Judge Reinhold","tt0083929",67,"English","Amy Heckerling","Comedy, Drama, Romance",7.2,56021,0,1,0,4
"2269","Secrets & Lies",4500000,13417292,1996,9,28,"Secrets & Lies",92,94,142,"Brenda Blethyn","Marianne Jean-Baptiste","Phyllis Logan","tt0117589",91,"English","Mike Leigh","Drama",8,22902,0,1,0,5
"2270","25th Hour",4500000,13084595,2002,12,19,"25th Hour",85,78,134,"Edward Norton","Philip Seymour Hoffman","Barry Pepper","tt0307901",67,"English","Spike Lee","Crime, Drama",7.7,126500,0,1,0,3
"2271","Bound",4500000,3802260,1996,10,4,"Bound",82,92,107,"Jennifer Tilly","Gina Gershon","Joe Pantoliano","tt0115736",61,"English","Andy Wachowski, Lana Wachowski","Crime, Drama, Thriller",7.5,34201,0,1,0,4
"2272","Requiem for a Dream",4500000,3635482,2000,10,6,"Requiem for a Dream",93,78,101,"Ellen Burstyn","Jared Leto","Jennifer Connelly","tt0180093",68,"English","Darren Aronofsky","Drama",8.4,406824,0,1,0,4
"2273","Donnie Darko",4500000,1270522,2001,10,26,"Donnie Darko",80,85,113,"Jake Gyllenhaal","Jena Malone","Mary McDonnell","tt0246578",71,"English","Richard Kelly","Drama, Mystery, Sci-Fi",8.2,425016,0,1,0,4
"2274","Whale Rider",4300000,20779666,2003,6,6,"Whale Rider",89,90,105,"Keisha Castle-Hughes","Rawiri Paratene","Vicki Haughton","tt0298228",79,"English, Maori","Niki Caro","Drama, Family",7.7,30392,1,0,0,4
"2275","Sexy Beast",4300000,6946056,2001,6,13,"Sexy Beast",85,86,88,"Ray Winstone","Ben Kingsley","Ian McShane","tt0203119",79,"English","Jonathan Glazer","Crime, Drama",7.3,34268,0,1,1,2
"2276","Love and Death on Long Island",4030000,2542264,1998,3,6,"Love and Death on Long Island",57,86,93,"John Hurt","Jason Priestley","Fiona Loewi","tt0119574",80,"English","Richard Kwietniowski","Comedy, Drama",7,3070,1,0,0,4
"2277","Porky's",4000000,109492484,1982,3,19,"Porky's",58,30,94,"Dan Monahan","Mark Herrier","Wyatt Knight","tt0084522",40,"English","Bob Clark","Comedy",6.1,26581,0,1,0,4
"2278","The Crying Game",4000000,62546695,1992,11,25,"The Crying Game",79,100,112,"Stephen Rea","Jaye Davidson","Miranda Richardson","tt0104036",90,"English","Neil Jordan","Crime, Drama, Romance",7.3,34736,0,1,1,2
"2279","Lost in Translation",4000000,44585453,2003,9,12,"Lost In Translation",86,95,105,"Bill Murray","Anna Faris","Scarlett Johansson","tt0335266",89,"English, Japanese, German, French","Sofia Coppola","Drama",7.8,252469,0,1,0,4
"2280","Leaving Las Vegas",4000000,31983777,1995,10,27,"Leaving Las Vegas",86,89,112,"Nicolas Cage","Elisabeth Shue","Julian Sands","tt0113627",82,"English, Russian","Mike Figgis","Drama, Romance",7.6,77277,0,1,0,4
"2281","Monster's Ball",4000000,31273922,2001,12,26,"Monster's Ball",67,85,111,"Billy Bob Thornton","Heath Ledger","Halle Berry","tt0285742",69,"English","Marc Forster","Drama, Romance",7.1,62739,0,1,1,2
"2282","The Kids Are All Right",4000000,20811365,2010,7,9,"The Kids Are All Right",73,93,104,"Annette Bening","Julianne Moore","Mark Ruffalo","tt0842926",86,"English","Lisa Cholodenko","Comedy, Drama",7.1,89701,0,1,0,4
"2283","The Last Exorcism Part II",4000000,15179303,2013,3,1,"The Last Exorcism Part II",27,16,88,"Ashley Bell","Julia Garner","Spencer Treat Clark","tt2034139",35,"English","Ed Gass-Donnelly","Drama, Horror, Thriller",3.9,9128,1,0,0,4
"2284","De-Lovely",4000000,13337299,2004,6,25,"De-Lovely",66,48,125,"Kevin Kline","Ashley Judd","Jonathan Pryce","tt0352277",53,"English, French, Italian","Irwin Winkler","Biography, Drama, Music",6.6,8758,1,0,0,4
"2285","They Live",4000000,13000000,1988,11,4,"They Live",79,83,97,"Roddy Piper","Keith David","Meg Foster","tt0096256",52,"English","John Carpenter","Action, Horror, Sci-Fi",7.3,50278,0,1,0,4
"2286","Saving Grace",4000000,12178602,2000,8,4,"Saving Grace",84,63,94,"Brenda Blethyn","Craig Ferguson","Martin Clunes","tt0195234",62,"English, French","Nigel Cole","Comedy, Crime",6.9,13028,0,1,0,4
"2287","What the #$'! Do We Know",4000000,10941801,2004,2,6,"What the Bleep Do We Know!?",69,34,108,"Marlee Matlin","Elaine Hendrix","John Ross Bowie","tt0399877",38,"German, English, Spanish","William Arntz, Betsy Chasse, Mark Vicente","Documentary, Comedy, Drama",5.3,11020,0,1,0,4
"2288","Scoop",4000000,10525717,2006,7,28,"Scoop",56,40,96,"Woody Allen","Hugh Jackman","Scarlett Johansson","tt0457513",48,"English","Woody Allen","Comedy, Mystery",6.8,51953,1,0,0,4
"2289","The Wash",4000000,10097096,2001,11,14,"The Wash",66,8,96,"Dr. Dre","Snoop Dogg","George Wallace (II)","tt0290332",18,"English","DJ Pooh","Comedy",4.4,4707,0,1,0,2
"2290","3 Strikes",4000000,9821335,2000,3,1,"3 Strikes",66,0,83,"Brian Hooks","N'Bushe Wright","Faizon Love","tt0199290",11,"English","DJ Pooh","Comedy",3.7,1281,0,1,0,2
"2291","The Visitor",4000000,9427026,2008,4,11,"The Visitor",84,89,104,"Richard Jenkins","Hiam Abbass","Haaz Sleiman","tt0857191",79,"English, French, Arabic, Romanian","Thomas McCarthy","Crime, Drama, Music",7.7,32310,1,0,0,4
"2292","The Cooler",4000000,8291572,2003,11,26,"The Cooler",70,77,103,"William H. Macy","Maria Bello","Alec Baldwin","tt0318374",69,"English","Wayne Kramer","Drama, Romance",7,26520,0,1,1,2
"2293","The Night Listener",4000000,7836393,2006,8,4,"The Night Listener",35,40,81,"Robin Williams","Toni Collette","Bobby Cannavale","tt0448075",51,"English","Patrick Stettner","Crime, Mystery, Thriller",5.9,11435,0,1,0,4
"2294","Bug",4000000,7006708,2007,5,25,"Bug",33,61,102,"Ashley Judd","Michael Shannon","Lynn Collins","tt0470705",62,"English","William Friedkin","Drama, Horror, Thriller",6,23725,0,1,0,4
"2295","The Rules of Attraction",4000000,6525762,2002,10,11,"The Rules of Attraction",71,43,110,"James Van Der Beek","Ian Somerhalder","Shannyn Sossamon","tt0292644",50,"English, German","Roger Avary","Comedy, Drama, Romance",6.8,39459,0,1,0,4
"2296","Let's Go to Prison",4000000,4630045,2006,11,17,"Let's Go To Prison",48,12,90,"Dax Shepard","Will Arnett","Chi McBride","tt0454987",27,"English","Bob Odenkirk","Comedy, Crime",6,16950,0,1,0,4
"2297","The Real Cancun",4000000,3816594,2003,4,25,"The Real Cancun",28,35,96,"Benjamin ""Fletch"" Fletcher","Nicole Frilot","Roxanne Frilot","tt0360916",34,"English","Rick de Oliveira","Documentary",2.7,3525,0,1,0,4
"2298","Waiting for Guffman",4000000,2922988,1997,1,31,"Waiting for Guffman",91,91,84,"Christopher Guest","Eugene Levy","Fred Willard","tt0118111",71,"English","Christopher Guest","Comedy",7.6,20399,0,1,0,4
"2299","Love Stinks",4000000,2793776,1999,9,10,"Love Stinks",64,19,94,"French Stewart","Bridgette Wilson","Bill Bellamy","tt0188863",23,"English","Jeff Franklin","Comedy",5.7,4035,0,1,0,4
"2300","You Kill Me",4000000,2426851,2007,6,22,"You Kill Me",60,78,92,"Ben Kingsley","Tea Leoni","Luke Wilson","tt0796375",64,"English","John Dahl","Comedy, Crime, Romance",6.6,14599,0,1,0,4
"2301","Thumbsucker",4000000,1328679,2005,9,16,"Thumbsucker",71,71,96,"Lou Taylor Pucci","Tilda Swinton","Vince Vaughn","tt0318761",69,"English","Mike Mills","Comedy, Drama",6.7,17184,0,1,0,4
"2302","Red State",4000000,1065429,2011,3,5,"Red State",54,58,88,"Michael Parks","Melissa Leo","John Goodman","tt0873886",50,"English","Kevin Smith","Action, Horror, Thriller",6.2,41147,0,1,0,5
"2303","The History Boys",3700000,2730296,2006,11,21,"The History Boys",70,65,113,"Richard Griffiths","Frances De La Tour","Stephen Campbell Moore","tt0464049",74,"English","Nicholas Hytner","Comedy, Drama",6.8,15108,0,1,1,1
"2304","The Full Monty",3500000,45950122,1997,8,13,"The Full Monty",79,95,91,"Robert Carlyle","Tom Wilkinson","Mark Addy","tt0119164",75,"English","Peter Cattaneo","Comedy, Drama, Music",7.2,69974,0,1,0,2
"2305","Menace II Society",3500000,27731527,1993,5,26,"Menace II Society",93,85,104,"Tyrin Turner","Jada Pinkett Smith","Vonte Sweet","tt0107554",76,"English","Albert Hughes, Allen Hughes","Crime, Drama",7.5,30801,0,1,0,2
"2306","Empire",3500000,17504595,2002,12,6,"Empire",63,21,90,"John Leguizamo","Peter Sarsgaard","Denise Richards","tt0262396",38,"English, Spanish","Franc. Reyes","Crime, Drama, Thriller",6,5855,0,1,0,4
"2307","Gods and Monsters",3500000,6451628,1998,11,6,"Gods and Monsters",84,96,120,"Ian McKellen","Brendan Fraser","Lynn Redgrave","tt0120684",74,"English, Hungarian","Bill Condon","Biography, Drama",7.6,22341,0,1,0,4
"2308","El secreto de sus ojos",3500000,6391436,2010,4,16,"The Secret in Their Eyes (El Secreto de Sus Ojos)",93,91,129,"Ricardo Darin","Soledad Villamil","Pablo Rago","tt1305806",81,"Spanish","Juan José Campanella","Drama, Mystery, Thriller",8.3,80976,0,1,0,4
"2309","Evil Dead II",3500000,5923044,1987,3,13,"Evil Dead 2",89,98,84,"Bruce Campbell","Sarah Berry","Dan Hicks","tt0092991",69,"English","Sam Raimi","Comedy, Horror",7.9,85098,0,1,0,4
