"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"2443","Quinceanera",400000,1692693,2006,8,2,"Quinceanera (Echo Park, L.A.)",71,86,91,"Emily Rios","Jesse Garcia","Chalo Gonzalez","tt0451176",72,"Spanish, English","Richard Glatzer, Wash Westmoreland","Drama",7.1,3351,0,1,0,2
"2444","Murderball",350000,1531154,2005,7,8,"Murderball",89,98,85,"Keith Cavill","Joe Soares","Mark Zupan","tt0436613",87,"English","Henry Alex Rubin, Dana Adam Shapiro","Documentary, Sport",7.8,8109,0,1,0,4
"2445","Tumbleweeds",312000,1350248,1999,11,24,"Tumbleweeds",67,83,104,"Janet McTeer","Kimberly J. Brown","Gavin O'Connor","tt0161023",75,"English","Gavin O'Connor","Drama, Comedy",6.7,2776,1,0,1,2
"2446","Pieces of April",300000,2528664,2003,10,17,"Pieces of April",73,84,80,"Katie Holmes","Patricia Clarkson","Oliver Platt","tt0311648",70,"English, Mandarin","Peter Hedges","Comedy, Drama",7.1,16545,1,0,0,4
"2447","Chasing Amy",250000,12006514,1997,4,4,"Chasing Amy",84,88,113,"Ben Affleck","Joey Lauren Adams","Jason Lee","tt0118842",71,"English","Kevin Smith","Comedy, Drama, Romance",7.4,95722,0,1,0,4
"2448","Lovely and Amazing",250000,4210379,2002,6,28,"Lovely & Amazing",63,86,89,"Catherine Keener","Brenda Blethyn","Emily Mortimer","tt0258273",75,"English","Nicole Holofcener","Comedy, Drama, Romance",6.9,5194,0,1,0,4
"2449","Better Luck Tomorrow",250000,3802390,2003,4,11,"Better Luck Tomorrow",79,81,99,"Parry Shen","Jason Tobin","Sung Kang","tt0280477",67,"English","Justin Lin","Crime, Drama",7.2,7429,0,1,0,4
"2450","Like Crazy",250000,3395391,2011,10,28,"Like Crazy",62,73,90,"Anton Yelchin","Felicity Jones","Jennifer Lawrence","tt1758692",71,"English","Drake Doremus","Drama, Romance",6.8,31932,1,0,0,4
"2451","Urbania",225000,1032075,2000,9,15,"Urbania",71,70,105,"Alan Cumming","Barbara Sukowa","Dan Futterman","tt0182508",73,"English","Jon Shear","Drama",7,2612,0,1,0,4
"2452","Swingers",200000,4505922,1996,10,18,"Swingers",90,87,96,"Jon Favreau","Vince Vaughn","Ron Livingston","tt0117802",71,"English","Doug Liman","Comedy, Drama",7.5,53946,0,1,0,4
"2453","The Grace Card",200000,2430735,2011,2,25,"The Grace Card",82,35,101,"Louis Gossett Jr","Michael Joiner","Michael Higgenbottom","tt1544600",43,"English","David G. Evans","Drama",6.1,1409,1,0,0,4
"2454","Another Earth",175000,1321194,2011,7,22,"Another Earth",67,63,92,"Brit Marling","Matthew-Lee Erlbach","D.J. Flava","tt1549572",66,"English","Mike Cahill","Drama, Sci-Fi",7,46261,1,0,0,4
"2455","Once",150000,9445857,2007,5,16,"Once",91,97,86,"Glen Hansard","Marketa Irglova","Hugh Walsh","tt0907657",88,"English, Czech","John Carney","Drama, Music, Romance",8,67227,0,1,0,2
"2456","Tadpole",150000,2891288,2002,7,19,"Tadpole",57,77,78,"Sigourney Weaver","Aaron Stanford","John Ritter","tt0271219",71,"English, French","Gary Winick","Comedy, Drama, Romance",6.3,4789,1,0,0,4
"2457","Facing the Giants",100000,10178331,2006,9,29,"Facing the Giants",86,13,111,"Alex Kendrick","Shannen Fields","Steve Williams","tt0805526",38,"English","Alex Kendrick","Drama, Sport",6.6,8963,1,0,0,4
"2458","Pi",68000,3221152,1998,7,10,"Pi",85,87,85,"Sean Gullette","Mark Margolis","Ben Shenkman","tt0138704",72,"English, Hebrew","Darren Aronofsky","Sci-Fi, Thriller",7.5,114041,0,1,0,4
"2459","The Brothers McMullen",50000,10426506,1995,8,9,"The Brothers McMullen",60,91,98,"Jack Mulcahy","Mike McGlone","Edward Burns","tt0112585",73,"English","Edward Burns","Comedy, Drama, Romance",6.6,5744,0,1,0,2
"2460","Clerks",27000,3073428,1994,10,19,"Clerks",89,88,92,"Brian O'Halloran","Jeff Anderson","Marilyn Ghigliotti","tt0109445",70,"English","Kevin Smith","Comedy",7.9,150855,0,1,0,2
"2461","In the Company of Men",25000,2883661,1997,8,1,"In the Company of Men",80,89,97,"Aaron Eckhart","Matt Malloy","Stacy Edwards","tt0119361",81,"English, American Sign Language","Neil LaBute","Comedy, Drama",7.3,10349,0,1,0,4
"2462","Slacker",23000,1227508,1991,8,1,"Slacker",78,85,105,"Richard Linklater","Mark James","Stella Weir","tt0102943",69,"English","Richard Linklater","Comedy, Drama",7.1,10452,0,1,0,3
"2463","El Mariachi",7000,2040920,1993,2,26,"El Mariachi",76,93,97,"Carlos Gallardo","Consuelo Gomez","Reinol Martinez","tt0104815",73,"Spanish","Robert Rodriguez","Action, Crime, Drama",7,41382,0,1,0,4
