budget,RT_aud_score,RT_crit_score,RT_runtime,Metascore,imdbRating,imdbVotes,dom_gross
138000000,70,64,163,56,7.6,296991,107509799
137500000,72,67,112,61,6.9,232382,134806913
137000000,29,62,138,54,5.7,159156,132177234
135000000,79,70,98,55,7.3,85486,187168425
135000000,69,88,107,75,7.3,132960,123257581
135000000,80,85,137,81,7.4,138837,93926386
135000000,67,67,95,58,6.5,29885,83028130
135000000,62,46,99,50,5.9,23615,64006466
135000000,43,47,132,65,6,78553,63478838
130000000,68,84,90,65,6.7,84478,149260504
130000000,71,73,96,63,7.3,119922,148415853
130000000,79,23,147,38,6.5,136693,138540870
130000000,59,62,100,65,6.4,187983,118311368
130000000,74,75,107,68,7.4,137492,77591831
127500000,46,65,82,56,6.4,29266,137748063
125000000,50,45,124,47,6.4,243018,186740799
125000000,40,28,106,39,5.8,179789,163214888
125000000,29,25,98,32,5.2,119199,136314294
125000000,17,12,127,28,3.6,148805,107325195
120000000,52,37,92,45,5.6,159355,131921738
120000000,85,87,127,79,8.1,291648,124987022
120000000,48,26,110,35,5.2,137579,115802596
120000000,41,44,105,48,4.8,83949,100814328
120000000,59,68,97,61,6.7,185787,93050117
120000000,61,54,125,54,7,234406,89107235
120000000,40,81,75,66,5.4,25619,64956806
120000000,66,29,120,38,6.7,147452,57712751
117000000,49,53,109,46,6.3,111565,76423035
115000000,70,69,136,60,6.8,178036,132556852
115000000,37,27,109,43,5.8,48871,67163857
110000000,44,22,103,30,5.5,51760,142614158
110000000,61,36,129,47,6.7,283620,139259759
110000000,86,81,128,69,7.3,273121,134529403
110000000,61,55,125,58,6.3,208883,125531634
110000000,54,57,120,56,6.4,115528,125304276
110000000,81,62,168,63,7.1,160509,113330342
110000000,79,87,170,77,7.5,195363,102608827
110000000,44,43,119,39,5.9,111006,98780042
110000000,73,60,126,56,7.1,190317,85463309
110000000,66,47,119,47,6.8,165524,77222099
110000000,58,14,105,34,5.4,15320,71017784
110000000,52,51,106,55,6.4,112111,65452312
110000000,28,54,76,50,5.4,9776,50026353
110000000,16,3,125,23,3.6,49518,48097081
110000000,73,39,145,63,7.2,163143,47398413
109000000,30,10,82,19,3.7,28515,101018283
109000000,65,67,167,65,6.7,63926,58183966
105000000,41,66,83,61,5.9,68465,140015224
105000000,74,84,95,73,7.2,62513,104400899
105000000,38,8,109,34,5,89581,94784201
103300000,78,25,117,35,6.4,171451,101643008
103000000,45,19,112,30,5.9,124853,112200072
102500000,59,68,140,70,7,178877,97104620
102000000,79,91,140,80,7.7,302828,132024714
100000000,35,10,98,27,5.4,63755,148438600
100000000,76,72,141,63,7.2,148509,146282411
100000000,87,80,157,76,7.8,257179,130164645
100000000,71,87,81,66,7,99954,124870275
100000000,63,72,107,62,6.8,123134,118627117
100000000,39,36,115,56,6,66248,101295562
100000000,84,85,79,70,7.3,88136,89296573
100000000,68,65,102,51,6.8,176749,85028192
100000000,57,73,101,71,6.8,72971,77233467
100000000,33,11,122,33,5.7,73076,66889043
100000000,30,26,93,42,5.2,41984,59475623
100000000,70,78,85,64,6.8,42751,58867694
100000000,90,62,143,64,8,286495,57377916
100000000,64,50,90,53,7,50479,55675313
100000000,69,63,129,51,7.2,177968,54768952
100000000,32,26,102,32,5.3,42033,49438370
100000000,74,77,113,64,6.9,41316,48417850
100000000,18,9,101,27,3.3,69735,40202379
97000000,81,75,166,72,7.5,233130,77730500
95000000,88,76,152,74,7.7,222174,108638745
95000000,43,15,147,27,4.1,45678,95347692
95000000,54,49,83,47,5.9,101072,88768303
95000000,73,86,98,69,6.8,111913,81562942
95000000,87,71,126,52,7.6,258766,63570862
95000000,64,48,89,51,6.8,36246,50802661
95000000,52,32,135,42,6.7,97965,44114232
94000000,48,19,93,33,5.7,119397,131144183
92500000,63,80,97,62,6.6,52838,71195053
92000000,42,14,97,28,5.4,120779,67349198
90000000,71,72,99,63,7,113855,143619809
90000000,94,92,152,86,8.5,587488,133311000
90000000,45,67,98,52,5.5,120315,125305545
90000000,70,83,107,71,7,236578,110461307
90000000,86,86,157,71,7.9,238442,102515793
90000000,78,63,150,62,7.4,151814,100920329
90000000,84,51,128,58,7.6,229508,100012499
90000000,51,49,95,52,6.7,48632,84052762
90000000,64,73,145,65,7.1,188699,78616689
90000000,28,27,112,24,5.7,86006,73209340
90000000,57,41,110,39,6,49451,68559554
90000000,45,24,117,43,5.4,77971,65653758
90000000,76,66,127,63,7,99903,62362560
90000000,64,30,116,50,6.1,44609,61363304
90000000,58,37,131,42,6.7,62549,58220776
90000000,60,31,126,46,6.3,106092,51877963
90000000,32,44,102,55,5.4,46638,47546796
90000000,42,29,111,53,6,35113,42885593
88000000,91,80,144,69,8,121170,61649911
86000000,76,77,140,72,7.4,50285,120277854
85000000,80,93,108,75,7.2,108618,127706877
85000000,69,14,115,37,6.1,95989,119725280
85000000,75,70,122,62,6.9,189914,117144465
85000000,60,56,120,57,6.6,55942,112735375
85000000,78,71,150,67,7.3,151371,111549836
85000000,57,48,86,49,6.2,48328,85105259
85000000,49,68,99,59,6.2,86133,78046570
85000000,32,31,100,35,4.8,20473,66941559
85000000,45,49,95,46,5.6,53650,64935167
85000000,80,47,135,52,6.9,135522,63280000
85000000,71,36,98,46,5.9,112146,62615510
85000000,83,35,105,54,7.3,98933,57010853
85000000,83,54,131,53,7.6,138473,51396781
85000000,45,39,131,44,6.1,84384,50016394
85000000,67,71,105,59,6.7,67214,47641743
85000000,77,91,97,69,7.1,25208,46462469
85000000,38,14,82,30,4.2,7944,45539292
85000000,81,51,181,43,7.1,131215,44650003
85000000,27,18,105,33,5.4,49833,40048332
85000000,25,25,95,32,5.5,43752,37948765
84000000,33,26,107,38,4.3,32409,123307945
84000000,64,42,116,47,6.7,67500,53262560
82500000,63,78,97,68,6.4,20960,82985708
82500000,45,16,88,35,6,186565,81168265
82500000,70,87,120,78,7.1,166928,75986503
82000000,65,41,103,45,6.5,192777,103068524
82000000,32,41,123,49,5.9,83036,34543701
80000000,70,71,123,66,6.8,73322,124685242
80000000,48,25,89,41,5.6,38258,120146040
80000000,83,91,138,82,7.3,221285,112276146
80000000,57,25,95,33,6.1,56341,110101975
80000000,60,19,116,33,6.4,122706,103028109
80000000,36,45,104,42,5.4,131998,102543518
80000000,62,26,117,43,6.6,125006,101440743
80000000,76,55,115,52,6.8,176867,101117573
80000000,77,71,154,73,7.2,98410,95632614
80000000,64,48,118,53,6.9,167397,94835059
80000000,32,23,93,37,4.9,42558,92993801
80000000,52,22,93,38,5.5,52279,82226474
80000000,42,14,101,30,5.1,33584,80360866
80000000,27,21,103,40,5.5,115183,79366978
80000000,65,52,135,49,6.7,58717,76118990
80000000,36,36,101,51,5.7,50589,74339294
80000000,76,69,83,52,6.9,28522,73215310
80000000,61,26,97,32,6.5,132063,69772969
80000000,24,29,130,42,5,49822,69117629
80000000,63,81,130,76,6.6,72720,65948711
80000000,29,25,102,34,4.8,50072,63313159
80000000,75,82,90,59,7.3,21036,60507228
80000000,38,29,96,42,5.9,86684,56684819
80000000,85,54,113,44,6.9,65207,55485043
80000000,49,26,129,47,5.9,52928,45575336
80000000,57,22,84,38,5.3,64762,39442871
80000000,38,39,89,45,6.3,126458,38577772
80000000,48,43,102,40,6,84556,38311134
80000000,39,38,118,51,5.9,79448,37899638
80000000,53,52,108,52,6.3,136750,37771017
80000000,36,20,82,47,5.4,15634,37384046
80000000,80,83,145,67,7.3,38740,34566746
79000000,60,42,94,41,5.8,48398,103860290
78000000,67,69,95,59,6.5,19725,119151927
78000000,74,69,125,60,7.2,159789,92955420
78000000,65,46,135,54,6.6,57766,67286731
78000000,44,17,110,30,5.7,107154,66465204
78000000,28,11,114,30,5.1,24762,41814863
76000000,84,93,109,84,7.9,292208,35552383
75000000,85,91,117,81,6.9,76518,118871849
75000000,71,78,130,76,6.6,44083,103365956
75000000,18,21,77,36,4.1,28960,97387965
75000000,49,35,110,46,6.1,111110,83504017
75000000,65,62,120,56,7.1,136779,83077762
75000000,74,60,128,55,7.3,216388,77073959
75000000,73,46,120,50,6.9,176227,75976178
75000000,63,74,91,68,6.7,51114,73661010
75000000,42,48,124,48,5.8,41357,68473360
75000000,74,81,102,69,7.1,75286,66661095
75000000,78,50,108,63,6.6,27584,64062587
75000000,43,30,119,37,5.6,52167,55849401
75000000,83,78,163,74,7.7,146437,47379090
75000000,41,11,100,21,5.3,55751,47059963
75000000,70,33,121,48,6.6,74200,43632458
75000000,49,24,109,36,5.7,66958,42285169
75000000,61,53,130,48,6.5,54734,42044321
75000000,59,65,122,60,6.6,49087,41523271
75000000,65,51,147,56,6.7,26671,39251128
75000000,47,23,110,33,6.1,156179,36392502
75000000,63,35,73,44,6.6,80256,34636443
75000000,28,30,116,47,5.3,27159,30207785
73243106,77,68,107,62,7.2,198449,94999143
73000000,35,40,107,52,5.9,54731,55591409
73000000,39,12,152,35,6,64063,37068294
72500000,48,11,112,29,5.6,44550,70231041
72500000,48,68,146,60,6.4,86754,51855045
72500000,54,78,122,65,6.3,252457,47467250
72000000,85,78,177,68,8.4,518035,75545647
72000000,68,61,122,58,7.1,114674,62647540
72000000,34,14,117,29,4.4,30076,32616869
71682975,57,43,109,44,6.5,154992,114197520
70000000,81,67,105,65,7.5,208931,101068340
70000000,73,40,136,45,6.9,167379,100614858
70000000,68,48,119,41,6.5,128015,98927592
70000000,48,35,116,37,5.8,129981,83552429
70000000,39,21,87,29,5.5,110703,80281096
70000000,74,77,146,72,7.3,86354,79883359
70000000,84,63,139,65,7.1,77418,78120196
70000000,45,55,102,64,6.4,46182,70187658
70000000,90,77,125,58,8,293570,66432867
70000000,62,26,88,39,6.4,85838,62321039
70000000,83,88,140,62,7.6,105616,54243125
70000000,29,24,110,46,5.3,36006,48475290
70000000,54,45,120,53,6.3,47710,40934175
70000000,86,76,127,66,7.8,171655,38634938
70000000,55,41,123,47,5.9,47613,38518613
70000000,74,61,134,55,7,73414,37945884
70000000,46,72,107,64,6.1,63727,37760080
70000000,36,10,116,37,5.6,34331,30157016
70000000,34,19,104,34,5.2,72764,28212337
69000000,43,42,114,56,5.9,64429,73026337
68000000,67,73,123,71,6.8,85175,71069884
68000000,36,30,134,35,5.5,62818,33685268
68000000,58,60,121,65,6,46762,29762011
68000000,91,96,157,84,7.9,111498,28965197
67500000,62,54,128,57,7.1,135769,39394666
67500000,51,35,105,42,6,98866,37519139
67500000,53,20,116,31,5.6,50456,36931089
66000000,51,38,113,54,6.2,70632,87707396
65000000,52,40,100,51,6.6,212905,100539043
65000000,68,55,98,51,6.8,157115,100468793
65000000,61,50,104,39,6.7,133399,100458310
65000000,72,83,136,63,6.7,106497,93828745
65000000,52,78,135,73,6.4,49180,90454043
65000000,51,69,113,60,6.3,74959,84049211
65000000,45,53,110,61,5.9,65688,70645997
65000000,60,68,129,66,6,58410,70278893
65000000,49,49,90,45,6,29337,69688384
65000000,61,35,107,45,6.3,49144,63803100
65000000,45,57,83,58,6.4,155235,59650222
65000000,73,77,165,68,7.3,177926,55691208
65000000,60,26,113,38,5.9,98803,52397389
65000000,80,49,131,53,7.1,34228,43545364
65000000,64,80,143,70,6.7,21616,39017984
65000000,96,81,139,66,8.9,888238,37030102
65000000,62,43,105,43,6.4,130903,36316032
65000000,71,67,120,44,6.7,50147,33447612
65000000,44,40,136,45,6.2,43537,32598931
65000000,50,75,113,67,6.1,47250,28045540
65000000,51,58,82,55,6.5,23481,26900336
64000000,55,12,90,26,4.1,31615,58636047
64000000,24,15,133,38,5,15202,31054924
62000000,61,68,117,62,6.5,55699,77086030
62000000,78,90,113,67,6.8,37280,60022813
61000000,68,64,109,55,6.8,78011,75612460
60000000,32,54,87,47,5.2,37354,93375151
60000000,60,42,102,42,6,66995,93354918
60000000,50,95,83,72,6.6,97301,90757863
60000000,38,41,92,45,5.5,75721,90580000
60000000,72,71,111,60,7.1,178753,90380162
60000000,50,63,100,55,6.1,100687,88200225
60000000,62,41,107,60,5.8,46879,82670733
60000000,58,6,93,34,5.3,31007,82571173
60000000,42,36,133,50,5.6,45770,80574010
60000000,67,61,130,50,7,148572,80070736
60000000,90,39,146,47,7.8,202905,77906816
60000000,68,53,125,42,6.7,71951,75764085
60000000,62,84,107,70,6.7,144783,75658097
60000000,74,50,165,52,6.8,83940,75530832
60000000,72,73,168,65,6.5,26983,75383563
60000000,72,90,101,80,7.7,108734,75286229
60000000,38,56,100,54,5.7,80397,73648228
60000000,24,17,90,34,5.1,135154,64506874
60000000,57,73,100,62,6.2,47932,63939454
60000000,55,36,127,45,6.3,32234,61322858
60000000,40,26,98,43,4.4,12112,61123569
60000000,65,81,122,72,6.8,190372,59623958
60000000,55,60,112,68,6.5,19962,56709981
60000000,72,87,93,72,7,52514,56003051
60000000,53,15,125,36,6.3,73034,54956941
60000000,46,27,119,43,6.2,76256,53789313
60000000,45,56,94,53,6.1,25819,50877145
60000000,30,22,98,30,5.2,47191,50586000
60000000,43,15,115,34,4.9,35845,48478006
60000000,41,52,108,63,6.3,126005,47795018
60000000,80,48,125,53,7.2,190522,47003582
60000000,73,20,105,46,6,43895,46850558
60000000,58,32,110,40,6.8,126402,46000903
60000000,23,14,97,34,4.9,63825,43337279
60000000,49,58,108,55,6.6,62118,43313890
60000000,51,37,116,51,6.4,46388,43254409
60000000,50,40,101,39,6.1,85626,43061982
60000000,40,21,91,39,6.1,33092,42194060
60000000,62,57,105,57,6.6,11171,40869415
60000000,38,19,103,36,6,62606,40081410
60000000,73,84,127,64,7.2,94844,37017955
60000000,40,33,99,48,6.1,37869,36280697
60000000,48,75,100,71,6.3,62942,35327628
60000000,34,31,109,55,5.7,15974,33956608
60000000,92,88,123,90,8,164969,32522352
60000000,40,27,95,37,5.8,56396,32122249
60000000,57,56,117,61,6.7,36734,31720158
60000000,61,12,130,33,6,59935,31165421
60000000,66,43,127,47,6.7,37846,30695227
60000000,63,7,103,25,6,27056,30063805
60000000,46,16,83,41,5.7,77983,29136626
60000000,33,16,101,37,4.2,40144,26873932
60000000,62,24,95,35,6.7,86643,26673242
60000000,57,45,86,48,6.6,26343,26483452
60000000,28,46,105,52,5.5,38528,25473093
58000000,46,36,102,36,5.6,66674,53715611
58000000,58,40,120,46,5.9,23045,49876377
58000000,75,56,95,47,6.8,65636,48318130
58000000,54,34,119,42,6.4,85588,44672764
58000000,20,25,90,27,3.5,11955,35231365
58000000,38,52,114,56,6.1,24289,31373938
58000000,27,12,104,27,4.6,23714,29580087
57500000,49,23,97,37,5.9,104331,60128566
57000000,80,66,130,60,7.5,198065,61007424
57000000,53,18,100,38,6.3,32609,28328132
57000000,51,29,127,36,5.9,24186,25528495
56000000,61,25,86,44,6.2,40066,46213824
55000000,46,23,99,33,5.5,35506,71724497
55000000,74,48,125,42,7,119672,71565669
55000000,80,85,111,69,8.2,498753,70098138
55000000,60,80,97,71,6.4,49312,66458769
55000000,89,84,137,83,8,380577,66207920
55000000,65,79,110,77,6.6,74269,56932305
55000000,47,18,90,38,5.7,6294,55533067
55000000,60,64,104,57,6.6,73457,52075270
55000000,85,33,143,40,7.4,77847,51225796
55000000,69,64,134,45,6.3,25336,50047179
55000000,80,68,118,67,7.3,122805,41610884
55000000,64,37,119,47,6.3,46055,39440655
55000000,82,62,141,63,7.8,162302,35739802
55000000,40,17,101,36,5.7,78341,34353000
55000000,47,30,94,40,6,29692,34234008
55000000,68,27,123,43,6.5,23276,34105207
55000000,39,10,92,36,5.5,94579,25857987
54000000,68,59,116,52,6.7,118484,81676888
54000000,50,21,109,46,5.6,57092,75802010
54000000,75,27,123,36,7.6,179800,69951824
54000000,78,68,170,60,7.6,188028,66520529
54000000,66,28,123,45,6.4,50109,26850426
53012938,41,68,98,50,5.9,50299,70327868
53000000,47,13,104,33,5,55545,80270227
53000000,75,25,109,34,7.4,164868,73357727
53000000,90,76,126,66,7.7,184641,57386369
53000000,38,23,89,29,5.5,18306,45207112
53000000,69,73,131,79,7.1,83705,33602376
53000000,87,83,192,77,7.7,129667,25031037
53000000,72,78,98,57,5.8,5426,22852487
52000000,93,80,182,73,8.2,233106,42438300
52000000,48,25,113,39,6.4,108496,37081475
52000000,80,79,180,78,7.6,113341,36400491
52000000,79,63,118,58,7.5,84217,34580635
52000000,54,37,92,42,6.5,80457,24077427
52000000,38,23,104,40,5.4,36485,23010607
50200000,67,72,99,60,7.1,158736,62495645
50000000,42,33,121,41,6.2,151420,79957634
50000000,34,20,110,44,5.3,55230,75941727
50000000,72,66,126,58,7.2,82304,75624550
50000000,86,94,133,87,7.6,215775,75605492
50000000,38,15,81,27,4.9,43621,75367693
50000000,37,5,94,22,5.1,20017,73701902
50000000,90,73,145,62,8.2,549561,70511035
50000000,36,31,91,43,5.8,49625,66711892
50000000,39,42,100,47,4.7,27712,66010682
50000000,54,66,114,58,6.2,60855,60470220
50000000,70,69,82,62,6.6,10792,58640119
50000000,63,44,110,49,6.8,135393,56758835
50000000,54,15,87,21,6.1,110469,55703475
50000000,50,24,110,38,6.3,34337,54997476
50000000,69,49,124,63,6.7,50000,52752475
50000000,68,72,128,76,7,91413,50824620
50000000,61,21,94,35,6.1,121665,50740078
50000000,52,45,125,52,6.7,32221,50068310
50000000,85,71,128,61,7.8,190518,48265581
50000000,54,55,124,62,5.8,50263,48169156
50000000,63,29,125,30,6.6,132090,46982632
50000000,67,40,118,30,6.5,38977,44737059
50000000,36,10,109,16,5.4,45920,42586861
50000000,40,41,124,43,5.9,39729,41263140
50000000,61,27,107,44,5.8,51885,40203020
50000000,58,19,120,43,6.6,129191,39778599
50000000,32,20,92,38,3.4,13175,39177684
50000000,54,26,99,34,6.4,48995,38122883
50000000,62,23,119,38,5.9,24994,37485528
50000000,77,54,138,43,6.5,21836,35188640
50000000,42,9,88,30,4,8758,33644788
50000000,38,46,126,56,6.5,68605,32746941
50000000,73,57,137,58,7.2,91617,28644813
50000000,56,15,121,35,6.2,67895,27669725
50000000,59,28,94,37,5.9,16048,27100030
50000000,50,8,126,35,5.9,59144,26623701
50000000,65,21,98,34,6.5,42143,26599248
50000000,40,53,111,64,6.4,28479,26199517
50000000,37,59,118,52,6.5,70089,25450527
50000000,32,1,96,26,5.1,14512,25195050
50000000,89,97,86,85,7.9,94300,23159305
50000000,36,6,92,35,5.9,34881,21302340
49000000,52,14,87,25,5.9,66083,43905746
49000000,75,76,134,74,7.4,96402,37491364
48000000,78,67,109,72,6.8,61629,69304264
48000000,64,28,118,45,6.6,91492,66488090
48000000,77,94,115,82,7.2,115379,60652036
48000000,42,18,101,36,5,21835,60022256
48000000,64,44,112,52,6.4,80101,56607223
48000000,86,88,122,76,7.8,189326,53606916
48000000,75,41,121,49,7.3,113193,50315140
48000000,63,50,118,44,6.3,51257,47095453
48000000,43,49,93,49,5.9,67329,37879996
48000000,75,93,120,85,7.1,61716,37562568
47500000,69,37,91,46,7.1,145466,42754105
47000000,67,49,131,43,6.5,19273,29781453
46000000,76,92,118,78,7.2,167776,67263182
46000000,87,82,153,74,8.1,158415,61002302
46000000,64,85,115,77,6.6,31246,59003384
45000000,78,89,102,70,7.3,100239,71423726
45000000,53,15,82,29,5.1,92350,71277420
45000000,78,55,120,45,7.1,143491,70141876
45000000,85,65,136,57,7.2,68347,67264877
45000000,51,13,110,22,5.4,70209,67061228
45000000,54,77,98,69,6.5,48839,66790248
45000000,24,38,89,37,4.5,57622,65598907
45000000,72,16,100,36,6.7,120930,62318875
45000000,72,22,100,27,5.5,73273,60786269
45000000,73,63,135,55,7.7,241874,59472278
45000000,50,17,114,31,5.7,35957,58617334
45000000,65,69,133,60,6.3,30540,53854588
45000000,52,6,88,38,5.3,16946,53359917
45000000,44,41,94,45,5.5,24677,52842724
45000000,58,22,94,41,6.3,120211,50648679
45000000,45,23,94,39,4.3,7707,48114556
45000000,68,54,111,52,6.3,16614,38399961
45000000,58,55,101,63,6.6,96995,36895141
45000000,59,55,94,60,6.5,66258,32003620
45000000,43,63,89,59,5.9,24504,28142535
45000000,51,33,88,51,6,89636,28013509
45000000,44,31,86,42,5.4,12829,25200412
45000000,82,53,133,56,7.5,78261,24343673
45000000,71,68,119,69,7.4,119489,22911480
45000000,26,6,90,26,5.5,67864,22532572
45000000,59,78,124,71,6.8,36129,19719930
44000000,85,74,147,49,7.5,126894,53300852
44000000,61,27,98,37,6.4,32983,31206263
43000000,79,73,136,62,7.3,64296,51768623
43000000,51,31,103,46,5.9,28167,37035515
43000000,75,65,102,58,7.1,71147,24537621
43000000,66,26,91,32,5,38639,24430272
42500000,51,53,92,49,6.5,88492,29121498
42000000,67,38,105,40,6.5,54708,45290318
42000000,57,52,119,52,6.5,53146,35228696
42000000,43,2,91,22,5.3,26576,26414527
42000000,38,33,110,34,6.1,37475,24375436
42000000,85,61,122,62,7.6,202914,24149632
42000000,45,39,131,44,6.1,84384,19487173
41000000,80,58,140,54,6.8,107931,56083966
41000000,28,18,88,38,5,21298,22108977
40000000,63,73,109,65,6.4,121152,61153526
40000000,63,37,106,49,6.4,69626,58855732
40000000,82,83,118,63,7.3,128235,58009200
40000000,57,46,95,47,6,28421,57887882
40000000,56,27,89,35,5.9,13327,57012977
40000000,37,19,99,34,5.2,43533,54979992
40000000,88,73,131,61,7.7,85019,54228104
40000000,92,76,130,66,8.5,546512,53089891
40000000,73,35,98,52,6.8,90661,52330111
40000000,51,63,107,51,6.4,136170,52000688
40000000,79,66,138,68,7.8,191522,50866635
40000000,68,62,96,59,6.6,63036,50572589
40000000,66,47,95,46,6.6,112388,47958031
40000000,58,37,103,47,6.5,70258,47907715
40000000,55,14,101,37,5.8,41990,46012734
40000000,77,82,135,72,7,34879,45916769
40000000,79,76,155,63,7.2,44600,44229441
40000000,52,61,92,50,5.9,63352,42587643
40000000,60,64,98,56,6.2,30148,42071069
40000000,55,20,103,24,5.4,16809,37752931
40000000,61,71,100,57,7.1,143452,37412945
40000000,67,27,108,45,6.4,59284,36665854
40000000,53,23,124,19,6.4,88882,36443442
40000000,35,12,95,33,4.6,8720,36037909
40000000,80,59,138,62,7.2,56195,34416893
40000000,42,45,102,49,5.8,26375,33864342
40000000,78,40,123,40,7.1,78218,33508922
40000000,44,25,101,41,5.7,42258,32862104
40000000,51,55,107,57,6.5,46452,31011732
40000000,70,16,116,45,4.7,27965,30981850
40000000,37,16,118,30,5.7,22507,30199105
40000000,44,3,107,17,5,10698,29374178
40000000,83,46,135,53,7.1,35454,29077547
40000000,32,25,91,33,5.2,8743,28544120
40000000,33,11,105,27,4.7,11734,27053815
40000000,62,42,115,50,6.8,65149,26814957
40000000,77,16,119,27,6.6,55383,25288103
40000000,50,8,99,36,5.7,32996,25126214
40000000,31,10,92,28,5.4,60895,24827228
40000000,53,17,129,44,6,11784,24172899
40000000,41,48,108,50,6.2,18902,22433915
40000000,47,32,128,40,5.9,9771,22365133
40000000,41,23,81,41,3.9,20260,21176322
40000000,36,17,131,16,4.4,41165,20350754
40000000,85,81,113,73,7.6,103649,19019882
39000000,24,26,125,42,4.9,36939,59950623
39000000,70,87,90,74,7,52123,35287788
39000000,92,82,119,74,8,194648,25514517
38000000,61,28,112,39,6.5,62772,53374681
38000000,88,83,146,74,7.5,60291,50699241
38000000,55,58,119,49,6.4,67938,42025135
38000000,52,53,123,47,6.2,37869,40334024
38000000,68,22,111,25,5.5,23395,39177215
38000000,42,23,111,36,6.1,74236,31811527
38000000,90,89,123,75,8.3,124401,26947624
38000000,58,41,132,44,6.7,112827,18653746
37500000,48,22,109,41,5.6,40722,41152203
37500000,60,85,138,86,7.1,67953,16247159
37000000,46,51,94,55,6,23339,48006762
37000000,40,19,110,31,5.7,63289,44875481
37000000,41,21,114,38,6,60636,33047633
37000000,33,34,81,36,4.6,7370,30105968
37000000,90,84,188,77,8,203658,22450975
36000000,56,63,100,63,6.5,109434,50269859
36000000,28,25,104,37,5.7,26550,23360779
35200000,48,31,95,44,5.3,12963,37788228
35000000,61,34,86,41,6.4,44597,54149098
